FY,Customer,Breakout,Category,Amount
2000,Other DoD,Basic Research (6.1),R&D,78751636.0
2000,Other DoD,Operation of Government R&D Facilities,R&D,268622.0
2000,Other DoD,Operational Systems Dev. (6.7),R&D,1064779.0
2000,Other DoD,System Dev. & Demonstration (6.5),R&D,107302667.0
2000,Other DoD,Ships,Products,18684686.0
2001,Air Force,Aircraft,Products,14989979033.0
2001,Air Force,Clothing & Subsistence,Products,73343368.0
2001,Air Force,Electronics & Communications,Products,3149642851.0
2001,Air Force,Engines & Power Plants,Products,3149222307.0
2001,Air Force,ERS,Services,2855380893.0
2001,Air Force,FRS&C,Services,4244725963.0
2001,Air Force,Fuels,Products,36097006.0
2001,Air Force,Ground Vehicles,Products,97165888.0
2001,Air Force,ICT,Services,2373875468.0
2001,Air Force,Launchers & Munitions,Products,961039256.0
2001,Air Force,MED,Services,41585376.0
2001,Air Force,Missiles & Space,Products,1109884391.0
2001,Air Force,Other,Products,2904296595.0
2001,Air Force,PAMS,Services,8737761516.0
2001,Air Force,Adv. Component Dev. & Prototypes (6.4),R&D,2409056519.0
2001,Air Force,Adv. Technology Dev. (6.3),R&D,2737402774.0
2001,Air Force,Applied Research (6.2),R&D,1516461668.0
2001,Air Force,Basic Research (6.1),R&D,285010682.0
2001,Air Force,Operation of Government R&D Facilities,R&D,86812219.0
2001,Air Force,Operational Systems Dev. (6.7),R&D,99088869.0
2001,Air Force,System Dev. & Demonstration (6.5),R&D,4113137523.0
2001,Air Force,Ships,Products,7661442.0
2001,Army,Aircraft,Products,3515513353.0
2001,Army,Clothing & Subsistence,Products,396050251.0
2001,Army,Electronics & Communications,Products,4070510838.0
2001,Army,Engines & Power Plants,Products,1156184213.0
2001,Army,ERS,Services,2570710949.0
2001,Army,FRS&C,Services,14057003505.0
2001,Army,Fuels,Products,6889895.0
2001,Army,Ground Vehicles,Products,4795164399.0
2001,Army,ICT,Services,2205688220.0
2001,Army,Launchers & Munitions,Products,2418278270.0
2001,Army,MED,Services,1120754992.0
2001,Army,Missiles & Space,Products,2529296001.0
2001,Army,Other,Products,2201601597.0
2001,Army,PAMS,Services,7703033113.0
2001,Army,Adv. Component Dev. & Prototypes (6.4),R&D,1550389644.0
2001,Army,Adv. Technology Dev. (6.3),R&D,2136119251.0
2001,Army,Applied Research (6.2),R&D,890995864.0
2001,Army,Basic Research (6.1),R&D,1313240595.0
2001,Army,Operation of Government R&D Facilities,R&D,10095263.0
2001,Army,Operational Systems Dev. (6.7),R&D,128693945.0
2001,Army,System Dev. & Demonstration (6.5),R&D,938939210.0
2001,Army,Ships,Products,50392425.0
2001,DLA,Aircraft,Products,787323623.0
2001,DLA,Clothing & Subsistence,Products,3769889484.0
2001,DLA,Electronics & Communications,Products,760483615.0
2001,DLA,Engines & Power Plants,Products,929499081.0
2001,DLA,ERS,Services,86080040.0
2001,DLA,FRS&C,Services,250705622.0
2001,DLA,Fuels,Products,5616340389.0
2001,DLA,Ground Vehicles,Products,262042286.0
2001,DLA,ICT,Services,335848785.0
2001,DLA,Launchers & Munitions,Products,43464868.0
2001,DLA,MED,Services,1589614.0
2001,DLA,Missiles & Space,Products,15385289.0
2001,DLA,Other,Products,2370589752.0
2001,DLA,PAMS,Services,324249546.0
2001,DLA,Adv. Technology Dev. (6.3),R&D,34568.0
2001,DLA,Applied Research (6.2),R&D,64164152.0
2001,DLA,Basic Research (6.1),R&D,62726254.0
2001,DLA,Operation of Government R&D Facilities,R&D,44064.0
2001,DLA,System Dev. & Demonstration (6.5),R&D,19532012.0
2001,DLA,Ships,Products,34270815.0
2001,MDA,Electronics & Communications,Products,851850.0
2001,MDA,FRS&C,Services,45303.0
2001,MDA,ICT,Services,8745967.0
2001,MDA,Missiles & Space,Products,1094868332.0
2001,MDA,PAMS,Services,11440567.0
2001,MDA,Adv. Technology Dev. (6.3),R&D,1027420179.0
2001,MDA,Basic Research (6.1),R&D,11024548.0
2001,MDA,Operation of Government R&D Facilities,R&D,149341105.0
2001,Navy,Aircraft,Products,6357236073.0
2001,Navy,Clothing & Subsistence,Products,103658599.0
2001,Navy,Electronics & Communications,Products,3304029462.0
2001,Navy,Engines & Power Plants,Products,1810745185.0
2001,Navy,ERS,Services,7604139001.0
2001,Navy,FRS&C,Services,7233266443.0
2001,Navy,Fuels,Products,6506019.0
2001,Navy,Ground Vehicles,Products,206846210.0
2001,Navy,ICT,Services,2115708839.0
2001,Navy,Launchers & Munitions,Products,1275488603.0
2001,Navy,MED,Services,222789374.0
2001,Navy,Missiles & Space,Products,2298569058.0
