"","FY","Customer","Breakout","Amount","Category"
"475",2001,"Army","ICT",2114435064,"Services"
"476",2001,"Army","Adv. Component Dev. & Prototypes (6.4)",171203040,"R&D"
"477",2001,"Army","Operation of Government R&D Facilities",9905329,"R&D"
"478",2001,"Army","Electronics & Communications",20929646,"Products"
"479",2001,"Army","Other",282049668,"Products"
"480",2001,"Army","Aircraft",7297191,"Products"
"481",2001,"Army","Electronics & Communications",189776437,"Products"
"482",2001,"Army","FRS&C",28064689,"Services"
"483",2001,"Army","Fuels",6577194,"Products"
"484",2001,"Army","Other",360416758,"Products"
"485",2000,"Navy","Adv. Component Dev. & Prototypes (6.4)",17251838,"R&D"
"486",2000,"Navy","Applied Research (6.2)",28669374,"R&D"
"487",2000,"Navy","Ships",5662104996,"Products"
"488",2000,"Navy","Aircraft",1941683,"Products"
"489",2000,"Navy","Electronics & Communications",4656856,"Products"
"490",2000,"Navy","PAMS",123938278,"Services"
"491",2000,"Other DoD","Electronics & Communications",15877861,"Products"
"492",2000,"Other DoD","ERS",46453587,"Services"
"493",2000,"Other DoD","Other",2082788,"Products"
"494",2000,"Other DoD","Operational Systems Dev. (6.7)",122562,"R&D"
"495",2000,"Other DoD","System Dev. & Demonstration (6.5)",60382763,"R&D"
"496",2000,"Other DoD","Adv. Technology Dev. (6.3)",96974788,"R&D"
"497",2000,"Other DoD","Basic Research (6.1)",74464206,"R&D"
"498",2001,"Air Force","Aircraft",727259683,"Products"
"499",2001,"Air Force","FRS&C",76141179,"Services"
"500",2001,"Air Force","Adv. Component Dev. & Prototypes (6.4)",817956818,"R&D"
"501",2001,"Air Force","Missiles & Space",7356390,"Products"
"502",2001,"Air Force","Basic Research (6.1)",335872,"R&D"
"503",2001,"Air Force","Other",1554533181,"Products"
"504",2001,"Air Force","System Dev. & Demonstration (6.5)",92669845,"R&D"
"505",2001,"Air Force","PAMS",1109452195,"Services"
"506",2001,"Air Force","ICT",802550,"Services"
"507",2001,"Army","Engines & Power Plants",714625656,"Products"
"508",2001,"Army","Ground Vehicles",2394964796,"Products"
"509",2001,"Army","ICT",20375712,"Services"
"510",2001,"Army","Launchers & Munitions",461898219,"Products"
"511",2001,"Army","Electronics & Communications",3575284482,"Products"
"512",2001,"Army","PAMS",1295274395,"Services"
"513",2001,"Army","Other",988967647,"Products"
"514",2001,"Army","PAMS",1091598108,"Services"
"515",2001,"Army","Ground Vehicles",2302597805,"Products"
"516",2001,"Army","Launchers & Munitions",21406571,"Products"
"517",2001,"Army","System Dev. & Demonstration (6.5)",23721475,"R&D"
"518",2001,"Army","Clothing & Subsistence",53233,"Products"
"519",2001,"Army","PAMS",23100211,"Services"
"520",2001,"DLA","Engines & Power Plants",752409504,"Products"
"521",2001,"DLA","Ground Vehicles",108891040,"Products"
"522",2001,"DLA","ICT",204329,"Services"
"523",2001,"DLA","Ships",511696,"Products"
"524",2001,"DLA","Electronics & Communications",671667694,"Products"
