"","FY","Customer","Breakout","Amount","Category"
"119",2000,"Army","Adv. Technology Dev. (6.3)",93474152,"R&D"
"120",2000,"Army","Other",841945275,"Products"
"121",2000,"Army","PAMS",1062139720,"Services"
"122",2000,"Army","FRS&C",795540,"Services"
"123",2000,"Army","Launchers & Munitions",2216695,"Products"
"124",2000,"Army","PAMS",112253677,"Services"
"125",2000,"Army","System Dev. & Demonstration (6.5)",58474623,"R&D"
"126",2000,"Army","Clothing & Subsistence",1105365,"Products"
"127",2000,"Army","Ground Vehicles",25802671,"Products"
"128",2000,"Army","PAMS",3530884706,"Services"
"129",2000,"Army","Electronics & Communications",3698446,"Products"
"130",2000,"DLA","Engines & Power Plants",61773147,"Products"
"131",2000,"DLA","ERS",384742,"Services"
"132",2000,"DLA","Missiles & Space",7521423,"Products"
"133",2000,"DLA","Other",10390917,"Products"
"134",2000,"DLA","Applied Research (6.2)",8729798,"R&D"
"135",2000,"DLA","Ground Vehicles",347706,"Products"
"136",2000,"DLA","PAMS",222949874,"Services"
"137",2000,"DLA","Aircraft",6333071,"Products"
"138",2000,"DLA","Missiles & Space",116772,"Products"
"139",2000,"DLA","Electronics & Communications",471614,"Products"
"140",2000,"MDA","ICT",7593834,"Services"
"141",2000,"MDA","FRS&C",69250,"Services"
"142",2000,"Navy","Launchers & Munitions",4689216,"Products"
"143",2000,"Navy","System Dev. & Demonstration (6.5)",589203060,"R&D"
"144",2000,"Navy","Launchers & Munitions",160127450,"Products"
"145",2000,"Navy","System Dev. & Demonstration (6.5)",286953272,"R&D"
"146",2000,"Navy","Electronics & Communications",86700,"Products"
"147",2000,"Air Force","ERS",2556198101,"Services"
"148",2000,"Air Force","Launchers & Munitions",12201150,"Products"
"149",2000,"Air Force","Operational Systems Dev. (6.7)",767122,"R&D"
"150",2000,"Air Force","Missiles & Space",900966946,"Products"
"151",2000,"Air Force","Adv. Component Dev. & Prototypes (6.4)",156968680,"R&D"
"152",2000,"Air Force","Adv. Technology Dev. (6.3)",1227450223,"R&D"
"153",2000,"Air Force","Applied Research (6.2)",621404246,"R&D"
"154",2000,"Air Force","ERS",1768580,"Services"
"155",2000,"Air Force","Other",239632,"Products"
"156",2000,"Air Force","Basic Research (6.1)",25990115,"R&D"
"157",2000,"Army","Clothing & Subsistence",1036268,"Products"
"158",2000,"Army","Ground Vehicles",2657135,"Products"
"159",2000,"Army","ICT",2300558745,"Services"
"160",2000,"Army","Launchers & Munitions",6161664,"Products"
"161",2000,"Army","System Dev. & Demonstration (6.5)",494685046,"R&D"
"162",2000,"Army","Engines & Power Plants",95743,"Products"
"163",2000,"Army","Operation of Government R&D Facilities",12245340,"R&D"
"164",2000,"Army","Electronics & Communications",26405404,"Products"
"165",2000,"Army","ERS",99107066,"Services"
"166",2000,"Army","Other",76362505,"Products"
"167",2000,"Army","Electronics & Communications",125591041,"Products"
"168",2000,"Army","ERS",46675978,"Services"
"169",2000,"Army","Other",107893592,"Products"
"170",2000,"Army","Ground Vehicles",2693938,"Products"
"171",2000,"Army","Launchers & Munitions",1150643886,"Products"
"172",2000,"Army","System Dev. & Demonstration (6.5)",52707477,"R&D"
"173",2000,"DLA","Fuels",4756320,"Products"
"174",2000,"DLA","Ground Vehicles",2011156,"Products"
"175",2000,"DLA","ICT",330574368,"Services"
"176",2000,"DLA","Launchers & Munitions",3699478,"Products"
"177",2000,"DLA","Engines & Power Plants",10919563,"Products"
"178",2000,"DLA","PAMS",2556312,"Services"
"179",2000,"DLA","Electronics & Communications",3350254,"Products"
"180",2000,"DLA","Other",14441037,"Products"
"181",2000,"DLA","Electronics & Communications",946195,"Products"
"182",2000,"DLA","Other",2168087,"Products"
"183",2000,"DLA","Ground Vehicles",1400595,"Products"
"184",2000,"DLA","Launchers & Munitions",18876070,"Products"
"185",2000,"MDA","PAMS",1040861,"Services"
"186",2000,"Navy","Engines & Power Plants",1105677479,"Products"
"187",2000,"Navy","ICT",909765,"Services"
"188",2000,"Navy","MED",437845,"Services"
"189",2000,"Navy","PAMS",320291806,"Services"
"190",2000,"Navy","Electronics & Communications",3857672442,"Products"
"191",2000,"Navy","PAMS",831999825,"Services"
"192",2000,"Navy","ERS",86746391,"Services"
"193",2000,"Navy","Adv. Component Dev. & Prototypes (6.4)",125460474,"R&D"
"194",2000,"Navy","ICT",6117149,"Services"
"195",2000,"Air Force","PAMS",1809177005,"Services"
"196",2000,"Air Force","ERS",151145219,"Services"
"197",2000,"Air Force","FRS&C",37097519,"Services"
"198",2000,"Air Force","Other",132827599,"Products"
"199",2000,"Air Force","Adv. Component Dev. & Prototypes (6.4)",840256874,"R&D"
"200",2000,"Air Force","Operational Systems Dev. (6.7)",16154011,"R&D"
"201",2000,"Air Force","Engines & Power Plants",56788,"Products"
"202",2000,"Air Force","PAMS",2463492,"Services"
"203",2000,"Air Force","Applied Research (6.2)",131642893,"R&D"
"204",2000,"Air Force","Operational Systems Dev. (6.7)",7938157,"R&D"
"205",2000,"Air Force","Engines & Power Plants",1650029,"Products"
"206",2000,"Army","Engines & Power Plants",840388459,"Products"
"207",2000,"Army","Ground Vehicles",1269690841,"Products"
"208",2000,"Army","Launchers & Munitions",846008549,"Products"
"209",2000,"Army","Missiles & Space",756807106,"Products"
"210",2000,"Army","Basic Research (6.1)",194387430,"R&D"
"211",2000,"Army","PAMS",543461907,"Services"
"212",2000,"Army","FRS&C",12365934666,"Services"
"213",2000,"Army","ICT",1234903,"Services"
"214",2000,"Army","Missiles & Space",320850,"Products"
"215",2000,"Army","Ships",196385,"Products"
"216",2000,"Army","Engines & Power Plants",54116438,"Products"
"217",2000,"Army","Adv. Technology Dev. (6.3)",1298201753,"R&D"
"218",2000,"Army","Basic Research (6.1)",28424665,"R&D"
"219",2000,"Army","MED",946280698,"Services"
"220",2000,"Army","ERS",27408644,"Services"
"221",2000,"Army","FRS&C",91089,"Services"
"222",2000,"Army","Aircraft",27353750,"Products"
"223",2000,"Army","PAMS",18472429,"Services"
"224",2000,"DLA","Engines & Power Plants",660368148,"Products"
"225",2000,"DLA","Ground Vehicles",74660025,"Products"
"226",2000,"DLA","Missiles & Space",1612266,"Products"
"227",2000,"DLA","Ships",1493397,"Products"
"228",2000,"DLA","PAMS",6808054,"Services"
"229",2000,"DLA","FRS&C",221140028,"Services"
"230",2000,"DLA","Other",354628337,"Products"
"231",2000,"DLA","Launchers & Munitions",4227495,"Products"
"232",2000,"DLA","Ships",362309,"Products"
"233",2000,"DLA","Engines & Power Plants",3320234,"Products"
"234",2000,"DLA","MED",1477647,"Services"
"235",2000,"DLA","ERS",67460,"Services"
"236",2000,"DLA","Other",32679835,"Products"
"237",2000,"DLA","Aircraft",584296,"Products"
"238",2000,"MDA","Applied Research (6.2)",858163,"R&D"
"239",2000,"Navy","FRS&C",3649714,"Services"
"240",2000,"Navy","Fuels",53409,"Products"
"241",2000,"Navy","Other",270868954,"Products"
"242",2000,"Navy","Engines & Power Plants",61717442,"Products"
"243",2000,"Navy","Missiles & Space",53639286,"Products"
"244",2000,"Air Force","Electronics & Communications",428567840,"Products"
"245",2000,"Air Force","Clothing & Subsistence",1757815,"Products"
"246",2000,"Air Force","System Dev. & Demonstration (6.5)",418141331,"R&D"
"247",2000,"Air Force","Missiles & Space",9534788,"Products"
